date,VCB,BID,CTG,MBB,TCB,ACB,VPB,HDB,VIB,TPB,STB,SHB,LPB,SSB,MSB,OCB,NAB,BAB,KLB,PGB,VAB,VBB,SGB,ABB,BVB
2021-02-28,42.75,25.03,17.29,9.24,18.16,12.4,12.83,8.2,10.56,9.51,18.35,6.25,6.04,,7.11,8.16,4.12,15.26,9.46,7.06,,7.92,10.5,7.09,9.51
2021-03-31,41.27,24.65,18.64,9.41,18.69,12.49,14.32,8.6,12.88,9.61,21.45,10.1,7.13,13.89,8.29,9.43,4.38,20.35,11.17,8.24,,7.87,11.44,8.15,10.52
2021-04-30,43.53,23.53,18.94,10.15,18.97,13.0,18.76,8.88,14.8,9.46,23.9,10.77,8.84,13.25,8.23,9.17,4.97,18.33,13.44,7.63,,8.22,11.44,9.54,10.67
2021-05-31,42.92,27.95,24.65,12.7,24.84,15.53,22.19,11.01,18.23,12.93,33.8,13.14,12.31,20.14,10.41,11.26,7.53,22.09,16.54,11.96,,13.5,19.04,13.95,19.88
2021-06-30,50.67,27.12,24.46,14.49,24.38,16.74,21.71,11.57,18.42,12.69,30.6,12.4,12.31,20.31,11.45,11.98,6.53,18.33,14.44,11.34,,12.71,16.73,12.94,17.94
2021-07-31,42.66,23.59,20.61,13.05,23.64,16.95,19.56,10.98,15.5,12.08,29.9,12.02,11.74,19.71,11.24,11.71,5.77,16.17,12.0,10.41,9.16,11.24,14.68,11.55,14.93
2021-08-31,43.27,22.36,19.05,12.59,22.44,15.01,19.75,10.57,13.5,11.77,27.35,11.89,10.61,19.39,10.73,11.05,5.88,16.3,12.11,11.23,9.48,11.31,14.6,11.33,14.93
2021-09-30,42.31,22.64,18.21,12.57,22.95,14.8,21.13,10.35,13.17,14.36,25.7,11.5,9.97,19.31,11.11,11.66,5.79,16.3,12.33,11.9,9.37,11.38,14.85,11.77,16.17
2021-10-31,42.66,23.82,18.87,12.86,23.87,15.48,21.96,10.29,13.78,15.48,26.6,12.08,9.58,21.16,11.29,12.98,6.12,16.15,14.81,12.26,9.65,11.24,14.94,12.0,16.09
2021-11-30,43.05,25.49,20.1,13.09,23.97,15.62,21.76,12.42,15.72,15.57,28.9,12.56,10.31,22.59,12.82,13.61,6.79,17.26,14.75,19.17,9.97,12.38,15.96,13.66,18.41
2021-12-31,44.31,26.91,20.81,13.05,23.13,16.18,20.66,12.57,17.62,19.13,31.5,11.92,10.27,26.01,14.3,13.32,6.52,16.74,15.62,16.75,9.76,12.71,15.71,13.54,18.1
2022-01-31,50.04,34.78,22.65,15.21,24.43,16.2,21.15,12.59,17.71,19.55,35.55,12.02,11.51,24.1,13.39,13.49,6.55,16.67,17.25,15.51,9.79,11.64,15.54,14.16,16.17
2022-02-28,47.51,31.69,20.35,15.53,23.32,15.9,21.93,11.73,17.47,19.69,32.85,11.57,10.43,21.71,13.14,12.95,6.75,16.37,16.81,16.9,9.72,11.38,15.45,13.96,15.93
2022-03-31,46.16,31.55,19.92,14.87,22.92,15.5,21.47,11.55,17.53,18.71,31.7,11.43,9.97,23.34,12.52,12.39,6.75,16.3,23.31,15.51,9.33,10.97,15.54,13.21,15.16
2022-04-30,45.49,27.02,17.03,13.45,20.36,15.34,21.18,10.31,16.02,15.66,27.7,8.71,8.35,22.54,11.29,11.66,5.92,14.59,20.62,14.74,8.14,9.3,13.4,10.8,12.61
2022-05-31,44.36,25.6,17.12,12.53,17.19,14.8,17.89,10.63,13.48,15.08,22.35,7.91,7.64,20.73,10.11,9.71,5.19,14.15,17.12,11.85,7.14,8.43,12.04,9.89,11.29
2022-06-30,42.06,24.3,16.05,10.92,16.45,14.07,16.74,9.78,10.81,12.65,21.5,7.21,6.64,23.13,8.38,8.2,4.5,13.04,15.56,9.17,6.22,6.89,11.52,8.64,10.13
2022-07-31,42.0,27.05,16.69,11.58,17.53,14.42,16.56,9.84,13.38,12.4,24.7,7.83,7.74,23.31,9.17,8.86,4.73,13.36,14.75,11.34,6.48,6.96,11.35,9.47,10.67
2022-08-31,47.23,29.01,17.34,12.87,18.02,14.45,18.35,10.88,12.57,13.05,24.8,8.34,8.04,23.61,9.37,8.61,4.8,13.28,15.88,11.9,6.55,7.16,11.78,9.55,10.36
2022-09-30,41.16,24.59,14.24,10.83,15.04,13.01,15.58,9.75,11.06,11.65,20.6,6.65,6.57,22.4,8.16,7.46,4.17,12.48,15.25,10.46,6.08,5.96,12.21,8.47,9.2
2022-10-31,41.33,25.06,15.1,9.59,11.38,13.13,14.15,8.35,9.86,9.65,16.15,6.12,5.98,22.65,7.95,6.44,3.75,11.28,13.88,9.79,5.23,5.96,11.95,6.98,7.19
2022-11-30,45.54,29.81,16.73,9.43,11.98,12.96,14.54,7.92,10.18,10.25,20.0,6.21,6.7,22.07,8.33,7.46,3.63,10.96,9.69,8.24,4.63,5.49,10.76,6.73,6.96
2022-12-31,44.98,28.0,16.73,9.26,11.96,12.84,15.5,8.12,9.56,9.81,22.5,6.11,7.67,24.08,8.01,8.78,3.58,10.56,7.56,8.4,5.69,5.22,11.01,6.65,7.58
2023-01-31,51.67,32.71,18.72,10.59,13.6,15.27,16.84,9.5,11.84,11.65,27.1,6.76,8.66,24.74,8.65,9.17,4.57,11.04,7.62,8.24,5.49,7.09,11.01,7.31,8.35
2023-02-28,52.57,31.98,16.82,9.34,12.26,14.3,14.76,8.68,10.8,10.86,23.75,6.02,8.17,23.24,7.72,7.93,4.14,11.12,6.75,8.76,4.83,8.23,10.59,6.56,8.28
2023-03-31,51.39,33.51,17.92,9.89,13.12,14.66,18.22,9.8,11.25,11.48,26.2,6.61,9.02,23.02,8.08,8.1,4.27,10.96,6.62,11.44,4.76,7.09,11.87,6.65,9.44
2023-04-30,50.89,31.55,17.71,9.99,13.65,14.19,17.23,9.57,11.03,12.31,25.3,6.88,8.2,23.39,7.53,7.64,4.35,10.8,7.0,15.97,4.96,7.23,11.35,7.15,9.17
2023-05-31,52.85,31.91,17.19,10.08,13.86,14.89,16.71,9.88,11.51,12.93,27.7,7.22,8.49,22.22,7.69,8.27,5.21,11.12,7.12,13.6,5.42,6.96,11.35,7.77,9.44
2023-06-30,56.23,31.44,18.11,11.22,14.97,15.48,17.18,9.98,12.68,12.96,29.8,7.68,8.87,23.81,8.08,8.93,6.02,11.2,8.5,14.12,5.23,7.23,11.52,8.04,9.62
2023-07-31,60.83,34.23,18.41,12.04,15.87,16.11,19.17,10.71,13.43,13.5,28.95,9.14,9.57,25.66,8.81,9.32,6.61,11.2,8.56,14.63,5.23,8.23,12.72,8.04,9.8
2023-08-31,59.17,34.05,19.92,11.81,15.96,15.86,18.14,10.4,13.14,14.11,32.65,9.03,12.1,24.74,8.97,9.56,7.09,11.12,8.5,15.15,5.36,7.7,13.83,7.95,9.44
2023-09-30,58.11,32.17,18.44,11.81,15.57,15.33,18.78,10.71,12.49,12.85,30.65,8.05,10.44,22.01,8.81,9.81,7.52,10.96,7.81,14.43,4.89,7.09,13.49,7.86,9.26
2023-10-31,57.64,29.16,17.0,10.92,12.82,15.02,17.31,10.62,11.55,11.37,27.0,7.32,11.04,22.71,7.85,9.33,6.93,10.08,6.88,11.59,4.37,5.82,11.1,6.95,8.99
2023-11-30,56.25,31.75,18.04,11.37,13.65,15.4,17.35,11.11,12.07,12.24,27.5,7.83,11.53,19.89,8.2,9.77,7.41,10.16,7.19,12.88,4.3,6.42,10.93,7.04,9.35
2023-12-31,53.33,35.47,18.59,11.91,14.71,16.77,17.44,12.53,12.65,12.53,27.95,7.83,11.87,21.04,8.33,9.73,8.16,10.16,7.12,13.5,4.76,6.69,10.76,7.31,9.44
2024-01-31,58.77,38.99,21.67,13.89,15.98,18.07,17.62,13.45,13.78,12.85,29.9,8.41,13.3,20.16,8.72,10.87,8.37,10.75,7.44,13.81,4.89,6.93,11.27,7.4,9.53
2024-02-29,64.62,43.32,24.38,15.42,19.52,19.65,18.07,14.38,14.54,14.29,31.55,8.56,12.89,20.16,10.19,11.09,8.8,10.84,7.5,14.93,5.56,7.0,11.35,7.59,9.8
2024-03-31,63.02,42.58,24.38,16.22,22.0,20.0,17.94,14.87,16.34,13.75,31.6,8.27,13.23,19.45,9.33,10.94,8.88,10.84,7.44,14.0,5.42,6.73,12.12,7.4,9.71
2024-04-30,60.56,40.21,22.5,14.21,21.56,18.84,16.85,14.57,14.43,12.89,28.2,8.3,15.75,19.37,8.72,9.99,8.96,10.58,7.0,13.13,5.95,7.47,13.15,7.04,9.8
2024-05-31,57.91,38.5,21.88,14.2,22.42,20.6,17.22,14.35,14.87,12.71,27.85,8.27,19.45,18.93,9.17,10.79,8.48,10.49,7.44,12.77,6.55,7.47,12.3,7.86,11.22
2024-06-30,56.58,35.35,21.26,14.49,22.28,19.88,17.84,14.2,14.36,12.73,28.8,8.27,21.25,18.31,9.17,10.32,8.51,10.49,7.5,12.62,6.48,6.87,12.39,7.4,10.51
2024-07-31,59.24,38.9,21.95,15.93,22.18,20.51,18.17,16.9,14.5,13.43,29.0,8.44,21.97,19.19,9.39,10.61,10.1,10.32,7.44,11.98,6.35,6.87,12.3,7.31,11.13
2024-08-31,60.9,39.97,24.04,16.22,22.28,20.72,18.12,17.8,14.68,13.24,30.55,7.99,23.67,19.2,9.67,10.45,11.0,10.24,8.12,11.76,5.95,6.67,12.21,7.22,11.27
2024-09-30,61.1,40.62,25.34,16.77,23.09,21.51,19.22,18.12,15.44,15.27,33.35,8.33,24.08,17.05,10.87,10.63,11.13,10.41,8.44,12.77,6.42,6.93,12.3,7.4,11.56
2024-10-31,62.16,39.03,24.49,16.35,22.8,21.22,19.56,17.28,15.16,15.36,35.2,8.03,24.83,16.55,10.29,10.06,10.67,10.41,7.56,11.69,6.15,6.8,11.93,7.04,11.36
2024-11-30,61.96,38.21,24.52,15.76,22.52,21.05,18.32,16.29,15.2,14.38,33.3,7.8,24.31,17.0,9.58,9.44,10.5,10.06,7.5,11.47,6.02,7.74,11.36,6.67,10.97
2024-12-31,60.56,37.14,25.93,16.38,23.52,21.56,18.36,19.66,15.76,14.78,36.9,7.76,27.51,16.75,9.71,10.01,10.63,10.32,7.12,11.04,6.22,7.74,11.83,6.76,11.36
2025-01-31,61.49,39.56,26.06,16.81,23.61,21.18,18.08,17.47,16.52,14.6,37.0,7.8,31.56,18.75,9.29,9.84,11.27,10.32,7.12,10.89,6.02,7.49,12.39,6.49,12.24
2025-02-28,61.96,40.5,28.46,17.26,24.9,21.72,18.46,17.77,16.6,14.83,38.25,8.4,31.82,19.4,9.46,9.88,11.8,10.95,7.75,11.25,6.88,7.91,12.3,6.95,14.4
2025-03-31,63.54,38.32,28.43,18.09,26.24,21.72,18.17,17.04,15.88,12.7,38.3,10.46,29.27,19.55,10.17,9.79,11.1,10.95,7.31,11.47,6.94,8.33,12.39,7.13,13.52
2025-04-30,56.89,34.17,25.51,17.68,25.09,20.09,15.83,16.54,14.43,12.07,39.1,10.59,28.65,18.4,9.33,9.13,11.03,10.3,7.62,10.63,7.28,8.08,12.11,6.76,12.0
2025-05-31,55.99,35.6,26.27,18.28,29.05,21.1,17.64,16.73,14.89,12.62,40.7,11.39,30.05,18.4,9.62,9.31,11.17,10.67,11.38,11.09,9.39,9.59,12.02,7.31,13.0
2025-06-30,56.59,35.9,28.74,19.37,32.63,21.3,18.18,16.81,15.22,12.81,46.7,11.25,30.48,18.15,10.0,10.28,11.17,11.22,10.81,10.63,10.05,9.87,11.93,7.68,12.7
2025-07-31,59.77,37.43,31.48,20.6,32.44,23.0,25.35,20.4,18.39,14.95,49.95,15.0,32.32,19.5,11.5,12.18,12.58,13.01,14.38,12.24,11.11,11.13,12.49,11.97,14.2
