Parameter,Value,Is_Baseline,Portfolio,Ann_Return,Ann_Vol,Sharpe,Sortino,MDD,Calmar,Win_Rate
max_weight,20%,False,BL_KIO,0.27162746364182033,0.269711027967333,0.8703588797954315,1.447214289135544,-0.3401145290346944,0.7986352844518211,0.6132075471698113
max_weight,20%,False,EW,0.26615682077001446,0.27382060545998754,0.8373173556941078,1.4530083749902805,-0.3654729095456211,0.7282532133528511,0.6226415094339622
max_weight,20%,False,RP,0.2570034003727728,0.2715305922456188,0.810668599367099,1.3921812075577855,-0.35715679297926844,0.7195814427298065,0.6226415094339622
max_weight,30%,True,MKT,0.2340326241166235,0.27049253980319304,0.7288576194684321,1.1841601320304886,-0.3250979637534103,0.7198833896546314,0.6132075471698113
max_weight,30%,True,TAN,0.19198996589055528,0.2781007184932304,0.5577399844892268,0.8726621742875115,-0.515447692628095,0.37247225787676497,0.6226415094339622
max_weight,30%,True,MV,0.1624082286037618,0.2539933888926357,0.4942103165729414,0.8013081748613347,-0.38444487380269055,0.4224486777449266,0.5754716981132075
max_weight,30%,True,BL,0.2722815155047065,0.29548000456128776,0.7966679179612046,1.3132346277075597,-0.36732294826377837,0.7412592019956736,0.6132075471698113
max_weight,30%,True,BL_KIO,0.3011883613124198,0.2812834671253247,0.9396438707965763,1.6281447307321586,-0.30659365956647877,0.9823698302773056,0.6132075471698113
max_weight,30%,True,EW,0.26615682077001446,0.27382060545998754,0.8373173556941078,1.4530083749902805,-0.3654729095456211,0.7282532133528511,0.6226415094339622
max_weight,30%,True,RP,0.2566576158488354,0.2714360253653761,0.8096771240342936,1.3899960239597804,-0.35715679297926856,0.7186132838406725,0.6226415094339622
max_weight,40%,False,MKT,0.2340326241166235,0.27049253980319304,0.7288576194684321,1.1841601320304886,-0.3250979637534103,0.7198833896546314,0.6132075471698113
max_weight,40%,False,TAN,0.1808916928006825,0.281645161013076,0.5113157876065849,0.799540492378237,-0.5162876779508846,0.35036995947420435,0.6037735849056604
max_weight,40%,False,MV,0.15508997930810953,0.25768540514804444,0.45872952629388947,0.7507705532277458,-0.3857043211093447,0.4020955193399104,0.5660377358490566
max_weight,40%,False,BL,0.27261538870807667,0.29733748940925697,0.7928139626951444,1.3056963597910691,-0.3673225340662323,0.7421689752878627,0.6037735849056604
max_weight,40%,False,BL_KIO,0.29237825570948894,0.28340063999664344,0.9015370615987912,1.5546315094474568,-0.3373439215797407,0.8667067553501987,0.6226415094339622
max_weight,40%,False,EW,0.26615682077001446,0.27382060545998754,0.8373173556941078,1.4530083749902805,-0.3654729095456211,0.7282532133528511,0.6226415094339622
max_weight,40%,False,RP,0.2566576158488354,0.2714360253653761,0.8096771240342936,1.3899960239597804,-0.35715679297926856,0.7186132838406725,0.6226415094339622
k_clusters,2,False,MKT,0.2340326241166235,0.27049253980319304,0.7288576194684321,1.1841601320304886,-0.3250979637534103,0.7198833896546314,0.6132075471698113
k_clusters,2,False,TAN,0.19198996589055528,0.2781007184932304,0.5577399844892268,0.8726621742875115,-0.515447692628095,0.37247225787676497,0.6226415094339622
k_clusters,2,False,MV,0.1624082286037618,0.2539933888926357,0.4942103165729414,0.8013081748613347,-0.38444487380269055,0.4224486777449266,0.5754716981132075
k_clusters,2,False,BL,0.2722815155047065,0.29548000456128776,0.7966679179612046,1.3132346277075597,-0.36732294826377837,0.7412592019956736,0.6132075471698113
k_clusters,2,False,BL_KIO,0.24063895206516928,0.2815382056078853,0.7237272687503566,1.2007401095348151,-0.42059771303645715,0.5721356645710312,0.5754716981132075
k_clusters,2,False,EW,0.26615682077001446,0.27382060545998754,0.8373173556941078,1.4530083749902805,-0.3654729095456211,0.7282532133528511,0.6226415094339622
k_clusters,2,False,RP,0.2566576158488354,0.2714360253653761,0.8096771240342936,1.3899960239597804,-0.35715679297926856,0.7186132838406725,0.6226415094339622
k_clusters,3,False,MKT,0.2340326241166235,0.27049253980319304,0.7288576194684321,1.1841601320304886,-0.3250979637534103,0.7198833896546314,0.6132075471698113
k_clusters,3,False,TAN,0.19198996589055528,0.2781007184932304,0.5577399844892268,0.8726621742875115,-0.515447692628095,0.37247225787676497,0.6226415094339622
k_clusters,3,False,MV,0.1624082286037618,0.2539933888926357,0.4942103165729414,0.8013081748613347,-0.38444487380269055,0.4224486777449266,0.5754716981132075
k_clusters,3,False,BL,0.2722815155047065,0.29548000456128776,0.7966679179612046,1.3132346277075597,-0.36732294826377837,0.7412592019956736,0.6132075471698113
k_clusters,3,False,BL_KIO,0.2745448860295887,0.2850403555717057,0.8337865355283117,1.4257817884644708,-0.32804570449215864,0.8369104739676639,0.6037735849056604
k_clusters,3,False,EW,0.26615682077001446,0.27382060545998754,0.8373173556941078,1.4530083749902805,-0.3654729095456211,0.7282532133528511,0.6226415094339622
